Finance_ID,Order_ID,Transaction_Date,Customer_ID,Customer_Name,Invoice_Value_INR,Amount_Paid_INR,Outstanding_INR,Freight_Cost_INR,Other_Expense_INR,Estimated_Net_Profit_INR,Payment_Type
FIN00030,ORD01583,2025-02-07,CUST007,Shree Industries,13296.05,1384.89,11911.16,600.33,300.16,3819.43,Invoice
FIN00031,ORD01724,2025-05-29,CUST101,Vertex Manufacturing,107467.92,107467.92,0,4771.22,2385.61,32150.77,Invoice
FIN00032,ORD01299,2025-07-22,CUST070,National Logistics,11439.34,11439.34,0,550.99,275.49,2741.64,Invoice
FIN00033,ORD00472,2025-12-11,CUST003,Prime Logistics,13290.68,6157.82,7132.86,520.65,260.33,5071.79,Invoice
FIN00034,ORD01345,2025-08-27,CUST072,United Logistics,115943.85,115943.85,0,4957.13,2478.56,37692.07,Invoice
FIN00035,ORD00290,2025-06-11,CUST014,National Industries,36754.48,36754.48,0,1475.67,737.83,13460.04,Invoice
FIN00036,ORD01562,2025-10-19,CUST090,Sunrise Traders,24019.33,24019.33,0,1086.31,543.15,6871.18,Invoice
FIN00037,ORD01634,2025-08-29,CUST045,Apex Traders,23774.85,23774.85,0,929.23,464.61,9106.33,Invoice
FIN00038,ORD00620,2025-08-18,CUST053,United Manufacturing,39568.54,23274.99,16293.55,1471.96,735.98,16332.64,Invoice
FIN00039,ORD01428,2025-05-28,CUST054,Prime Industries,21589.66,1868.47,19721.19,888.78,444.39,7559.59,Invoice
FIN00040,ORD00661,2025-11-24,CUST091,Metro Pvt Ltd,4680.38,2721.01,1959.37,181.98,90.99,1807.67,Invoice
FIN00041,ORD01487,2025-06-15,CUST077,Shree Industries,9446.49,9446.49,0,425.33,212.67,2732.34,Invoice
FIN00042,ORD01356,2025-09-19,CUST023,Vertex Logistics,41203.19,26193.5,15009.69,1918.58,959.29,10917.1,Invoice
FIN00043,ORD01741,2025-03-14,CUST028,United Logistics,11452.96,11452.96,0,447.27,223.64,4392.41,Invoice
FIN00044,ORD00353,2025-04-04,CUST104,Om Logistics,7799.08,7799.08,0,321.37,160.69,2725.96,Invoice
FIN00045,ORD00552,2025-06-22,CUST055,National Manufacturing,58124.28,4095.15,54029.13,2348.19,1174.09,21056.48,Invoice
FIN00046,ORD00066,2025-02-26,CUST101,Vertex Manufacturing,14384.38,14384.38,0,546.24,273.12,5761.57,Invoice
FIN00047,ORD01349,2025-08-05,CUST119,National Traders,1611.17,571.34,1039.83,62.82,31.41,619.44,Invoice
FIN00048,ORD00325,2025-04-02,CUST021,National Pvt Ltd,6562.56,3266.67,3295.89,306.35,153.17,1726.66,Invoice
FIN00049,ORD01135,2025-11-10,CUST120,Prime Manufacturing,13417.22,13417.22,0,577.02,288.51,4308.58,Invoice
FIN00050,ORD01644,2025-05-18,CUST006,Vertex Enterprises,170000.19,170000.19,0,8694.8,4347.4,32746.64,Invoice
FIN00051,ORD00252,2025-08-11,CUST086,Apex Manufacturing,37622.59,3139.78,34482.81,1757.83,878.92,9873.93,Invoice
FIN00052,ORD01354,2025-06-10,CUST103,Apex Traders,77431.88,77431.88,0,3381.33,1690.67,24055.1,Invoice
FIN00053,ORD00611,2025-08-15,CUST072,United Logistics,10594.61,10594.61,0,541.03,270.52,2053.99,Invoice
FIN00054,ORD01371,2025-02-18,CUST112,National Manufacturing,1438.35,1438.35,0,57.37,28.68,532.75,Invoice
FIN00055,ORD00679,2025-04-07,CUST077,Shree Industries,3519.46,3519.46,0,166.42,83.21,892.46,Invoice
FIN00056,ORD01337,2025-05-22,CUST097,Vertex Pvt Ltd,61463.16,61463.16,0,2860.59,1430.3,16306.63,Invoice
FIN00057,ORD01340,2025-08-24,CUST033,Om Manufacturing,16109.28,9679.3,6429.98,701.12,350.56,5041.61,Invoice
FIN00058,ORD00030,2025-02-28,CUST041,Metro Enterprises,107889.25,48279.62,59609.63,5627.45,2813.72,19055.95,Invoice
FIN00059,ORD01122,2025-08-09,CUST120,Prime Manufacturing,9002.75,9002.75,0,392.03,196.02,2814.23,Invoice
FIN00060,ORD01710,2025-07-17,CUST020,Shree Industries,219.74,219.74,0,9.7,4.85,66.56,Invoice
FIN00061,ORD00136,2025-11-11,CUST108,National Manufacturing,8624.51,8624.51,0,324.01,162.01,3509.74,Invoice
FIN00062,ORD00652,2025-02-19,CUST049,Metro Enterprises,13614.68,13614.68,0,616.92,308.46,3876.13,Invoice
FIN00063,ORD01650,2025-12-24,CUST113,Vertex Manufacturing,24315.13,24315.13,0,977.4,488.7,8886.16,Invoice
FIN00064,ORD00681,2025-01-17,CUST051,Prime Manufacturing,660390.1,660390.1,0,35271.06,17635.53,103611.16,Invoice
FIN00065,ORD01673,2025-03-21,CUST016,Shree Pvt Ltd,97760.26,97760.26,0,4695.54,2347.77,23637.87,Invoice
FIN00066,ORD01455,2025-05-16,CUST003,Prime Logistics,6827.82,6827.82,0,253,126.5,2834.03,Invoice
FIN00067,ORD01494,2025-04-03,CUST088,United Manufacturing,87499.43,48506.12,38993.31,3976.25,1988.13,24731.45,Invoice
FIN00068,ORD01311,2025-11-23,CUST024,Sunrise Logistics,755.7,555.92,199.78,27.58,13.79,320.37,Invoice
FIN00069,ORD00556,2025-08-07,CUST037,Prime Pvt Ltd,6937.29,3544.4,3392.89,264.08,132.04,2768.53,Invoice
FIN00070,ORD01596,2025-02-18,CUST010,Metro Logistics,34246.88,22474.01,11772.87,1690.62,845.31,7559.26,Invoice
FIN00071,ORD00383,2025-10-18,CUST072,United Logistics,22135.85,8357.4,13778.45,953.64,476.82,7081.95,Invoice
FIN00072,ORD00174,2025-09-09,CUST030,Metro Industries,41592.93,41592.93,0,1604.31,802.15,16267.82,Invoice
FIN00073,ORD00110,2025-08-02,CUST046,Shree Pvt Ltd,7551.96,7551.96,0,285.75,142.88,3041.13,Invoice
FIN00074,ORD00571,2025-11-18,CUST009,Prime Industries,10533.96,938.6,9595.36,383.02,191.51,4487.76,Invoice
FIN00075,ORD00536,2025-02-20,CUST037,Prime Pvt Ltd,17530.09,17530.09,0,675.67,337.83,6864.19,Invoice
FIN00076,ORD01605,2025-02-07,CUST053,United Manufacturing,5004.09,21.9,4982.19,212.42,106.21,1650.87,Invoice
FIN00077,ORD01028,2025-08-03,CUST106,Global Pvt Ltd,188234.97,188234.97,0,7559.25,3779.63,68906.77,Invoice
FIN00078,ORD00865,2025-08-21,CUST016,Shree Pvt Ltd,37876.55,37876.55,0,1460.67,730.33,14818.87,Invoice
FIN00079,ORD00240,2025-06-19,CUST064,Sunrise Industries,272242.84,272242.84,0,13109.64,6554.82,65297.82,Invoice
FIN00080,ORD00112,2025-06-26,CUST075,Global Traders,449.63,449.63,0,18.74,9.37,153.8,Invoice
FIN00081,ORD01661,2025-12-03,CUST099,Prime Pvt Ltd,17186.32,17186.32,0,803.33,401.66,4505.21,Invoice
FIN00082,ORD00949,2025-03-22,CUST060,Om Pvt Ltd,911.87,477.23,434.64,37,18.5,327.79,Invoice
FIN00083,ORD00590,2025-05-26,CUST112,National Manufacturing,1671.81,166.89,1504.92,67.01,33.5,614.02,Invoice
FIN00084,ORD00818,2025-06-08,CUST044,Apex Industries,10116.27,10116.27,0,402.15,201.07,3768.11,Invoice
FIN00085,ORD00024,2025-07-26,CUST036,National Industries,488.98,18.36,470.62,21.68,10.84,146.68,Invoice
FIN00086,ORD01568,2025-05-20,CUST031,United Industries,426.46,426.46,0,20.04,10.02,110.11,Invoice
FIN00087,ORD01790,2025-01-28,CUST093,Om Traders,149836.13,2086.68,147749.45,7623.61,3811.81,29491.96,Invoice
FIN00088,ORD01256,2025-08-29,CUST027,Om Industries,8709.23,4250.75,4458.48,365.49,182.74,2939.77,Invoice
FIN00089,ORD00519,2025-12-10,CUST046,Shree Pvt Ltd,284.1,284.1,0,12.14,6.07,92.49,Invoice
FIN00090,ORD00430,2025-03-10,CUST058,Sunrise Pvt Ltd,15722.09,9095.97,6626.12,682.79,341.39,4943.79,Invoice
FIN00091,ORD00655,2025-06-04,CUST110,Om Manufacturing,34141.24,34141.24,0,1430.52,715.26,11559.45,Invoice
FIN00092,ORD00332,2025-05-26,CUST087,Shree Manufacturing,88693.19,88693.19,0,3929.4,1964.7,26664.84,Invoice
FIN00093,ORD00189,2025-09-11,CUST034,Vertex Logistics,524.37,524.37,0,24.42,12.21,138.88,Invoice
FIN00094,ORD01726,2025-05-02,CUST068,Shree Enterprises,6811.92,6811.92,0,265.41,132.71,2622.22,Invoice
FIN00095,ORD00384,2025-06-01,CUST006,Vertex Enterprises,23173.61,23173.61,0,882.84,441.42,9237.32,Invoice
FIN00096,ORD00439,2025-07-10,CUST120,Prime Manufacturing,39790.14,39790.14,0,1611.83,805.92,14346.18,Invoice
FIN00097,ORD01776,2025-09-20,CUST014,National Industries,9519.27,9519.27,0,376.14,188.07,3581.56,Invoice
FIN00098,ORD00591,2025-04-13,CUST054,Prime Industries,19764.38,19764.38,0,799.97,399.98,7136.34,Invoice
FIN00099,ORD00211,2025-12-15,CUST012,Shree Pvt Ltd,3031.76,3031.76,0,142.77,71.39,778.01,Invoice
FIN00100,ORD00221,2025-07-31,CUST100,Sunrise Traders,43417.61,43417.61,0,1826.93,913.47,14578.19,Invoice
FIN00101,ORD00204,2025-03-19,CUST004,Prime Manufacturing,6236.28,6236.28,0,241.84,120.92,2418.62,Invoice
FIN00102,ORD00440,2025-01-13,CUST110,Om Manufacturing,40995.42,4731.78,36263.64,2047.74,1023.87,8670.31,Invoice
FIN00103,ORD01620,2025-04-04,CUST060,Om Pvt Ltd,1369.02,1369.02,0,60.65,30.32,411.69,Invoice
FIN00104,ORD01518,2025-08-03,CUST102,Global Logistics,9414.08,9414.08,0,403.9,201.95,3038.17,Invoice
FIN00105,ORD01742,2025-11-05,CUST078,Shree Industries,3049260.62,3049260.62,0,151717.22,75858.61,654296,Invoice
FIN00106,ORD00583,2025-01-28,CUST119,National Traders,3919.39,3919.39,0,166.5,83.25,1291,Invoice
FIN00107,ORD01734,2025-09-13,CUST062,Global Industries,12118.14,12118.14,0,442.2,221.1,5137.62,Invoice
FIN00108,ORD00484,2025-03-18,CUST112,National Manufacturing,219269.82,219269.82,0,10250.92,5125.46,57451.73,Invoice
FIN00109,ORD01250,2025-03-19,CUST108,National Manufacturing,35689.08,3299.26,32389.82,1608.59,804.3,10296.28,Invoice
FIN00110,ORD00783,2025-03-26,CUST103,Apex Traders,25055.38,25055.38,0,1093.26,546.63,7797.53,Invoice
FIN00111,ORD00482,2025-08-13,CUST110,Om Manufacturing,2291.21,2291.21,0,98.82,49.41,731.33,Invoice
FIN00112,ORD00515,2025-10-04,CUST059,Global Manufacturing,819.17,819.17,0,36.43,18.22,244.03,Invoice
FIN00113,ORD00950,2025-06-12,CUST109,National Enterprises,289.12,289.12,0,12.2,6.1,96.56,Invoice
FIN00114,ORD00969,2025-06-09,CUST112,National Manufacturing,6466.58,6466.58,0,272.39,136.19,2166.78,Invoice
FIN00115,ORD00612,2025-05-06,CUST082,Global Enterprises,1490.73,918.29,572.44,72.8,36.4,341.56,Invoice
FIN00116,ORD00803,2025-01-31,CUST111,National Manufacturing,974.93,974.93,0,44.8,22.4,267.8,Invoice
FIN00117,ORD00528,2025-03-27,CUST090,Sunrise Traders,30457.45,30457.45,0,1504.86,752.43,6702.15,Invoice
FIN00118,ORD00768,2025-08-13,CUST001,Prime Industries,95711.18,2721.55,92989.63,3866.04,1933.02,34683,Invoice
FIN00119,ORD00599,2025-07-22,CUST070,National Logistics,22340.33,12118.44,10221.89,891.08,445.54,8274,Invoice
FIN00120,ORD00116,2025-01-27,CUST040,National Pvt Ltd,61829.29,61829.29,0,2665.36,1332.68,19754.67,Invoice
FIN00121,ORD00507,2025-06-30,CUST013,Prime Industries,10499.4,10499.4,0,437.45,218.73,3593.93,Invoice
FIN00122,ORD00545,2025-12-14,CUST054,Prime Industries,181952.83,181952.83,0,8620.17,4310.08,45877.34,Invoice
FIN00123,ORD00351,2025-04-13,CUST097,Vertex Pvt Ltd,14238.41,14238.41,0,588.51,294.26,4948.35,Invoice
FIN00124,ORD01388,2025-03-14,CUST010,Metro Logistics,12809.41,12809.41,0,603.52,301.76,3282.38,Invoice
FIN00125,ORD01718,2025-11-05,CUST099,Prime Pvt Ltd,68606.03,2759.17,65846.86,2805.41,1402.71,24320.61,Invoice
FIN00126,ORD01752,2025-11-22,CUST106,Global Pvt Ltd,48300.74,18285.83,30014.91,2544.05,1272.02,8141.14,Invoice
FIN00127,ORD01051,2025-02-03,CUST100,Sunrise Traders,8790.05,8790.05,0,382.66,191.33,2749.51,Invoice
FIN00128,ORD01202,2025-04-20,CUST111,National Manufacturing,18470.51,18470.51,0,809.57,404.79,5690.81,Invoice
FIN00129,ORD00276,2025-04-19,CUST039,Shree Logistics,110010.68,110010.68,0,4236.06,2118.03,43141.47,Invoice
FIN00130,ORD00345,2025-07-27,CUST040,National Pvt Ltd,27394.37,27394.37,0,1045.76,522.88,10886.36,Invoice
FIN00131,ORD01777,2025-01-05,CUST017,Global Logistics,1611.19,1611.19,0,72.35,36.17,469.12,Invoice
FIN00132,ORD01217,2025-10-23,CUST047,Global Pvt Ltd,190600.15,190600.15,0,8206.46,4103.23,61055.34,Invoice
FIN00133,ORD00711,2025-09-09,CUST042,National Manufacturing,47945.14,7137.63,40807.51,1872.22,936.11,18390.75,Invoice
FIN00134,ORD00343,2025-03-31,CUST099,Prime Pvt Ltd,31055.9,31055.9,0,1525.86,762.93,6969.07,Invoice
FIN00135,ORD01197,2025-07-18,CUST020,Shree Industries,44324.98,19061.95,25263.03,1669.13,834.56,17976.63,Invoice
FIN00136,ORD00483,2025-10-01,CUST090,Sunrise Traders,47851.94,47851.94,0,1819.7,909.85,19126.67,Invoice
FIN00137,ORD00887,2025-12-17,CUST044,Apex Industries,57827.88,57827.88,0,2464.11,1232.05,18930.2,Invoice
FIN00138,ORD00333,2025-04-04,CUST013,Prime Industries,170.6,9.68,160.92,7.42,3.71,53.51,Invoice
FIN00139,ORD01166,2025-12-29,CUST091,Metro Pvt Ltd,21078.04,21078.04,0,939.39,469.7,6249.06,Invoice
FIN00140,ORD00125,2025-04-17,CUST069,United Logistics,10372.58,6437.73,3934.85,448.61,224.3,3291,Invoice
FIN00141,ORD00544,2025-02-25,CUST036,National Industries,22035.49,22035.49,0,998.54,499.27,6272.81,Invoice
FIN00142,ORD01125,2025-12-16,CUST078,Shree Industries,8946.01,3663.75,5282.26,409.87,204.93,2475.95,Invoice
FIN00143,ORD00050,2025-07-05,CUST056,National Enterprises,20354.76,20354.76,0,847.15,423.57,6981.91,Invoice
FIN00144,ORD01212,2025-03-16,CUST008,Metro Traders,18080.7,18080.7,0,784.97,392.48,5689.41,Invoice
FIN00145,ORD00427,2025-03-17,CUST088,United Manufacturing,73631.53,73631.53,0,2891.93,1445.97,27980.33,Invoice
FIN00146,ORD00701,2025-12-08,CUST048,Sunrise Manufacturing,21837.62,21837.62,0,976.6,488.3,6421.36,Invoice
FIN00147,ORD01161,2025-10-18,CUST113,Vertex Manufacturing,25971.06,19067.06,6904,1218.55,609.28,6735.32,Invoice
FIN00148,ORD01778,2025-03-07,CUST078,Shree Industries,1042.35,136.01,906.34,45.42,22.71,325.29,Invoice
FIN00149,ORD00893,2025-06-03,CUST109,National Enterprises,3989.06,2446.35,1542.71,171.91,85.96,1275.29,Invoice
FIN00150,ORD01165,2025-04-13,CUST032,Vertex Industries,5889.03,5889.03,0,266.26,133.13,1685.89,Invoice
FIN00151,ORD01512,2025-01-23,CUST003,Prime Logistics,18729.63,18729.63,0,679.49,339.75,8003.34,Invoice
FIN00152,ORD01788,2025-09-18,CUST051,Prime Manufacturing,7823.31,5623.55,2199.76,304.37,152.19,3018.59,Invoice
FIN00153,ORD01209,2025-10-23,CUST062,Global Industries,13939.69,13939.69,0,592.13,296.07,4592.48,Invoice
FIN00154,ORD01766,2025-07-14,CUST059,Global Manufacturing,588.65,40.35,548.3,24.45,12.23,202.65,Invoice
FIN00155,ORD00234,2025-06-12,CUST051,Prime Manufacturing,10179.66,10179.66,0,467.87,233.94,2793.93,Invoice
FIN00156,ORD00079,2025-12-06,CUST062,Global Industries,5493.37,3467.04,2026.33,236.11,118.05,1766.22,Invoice
FIN00157,ORD00882,2025-08-21,CUST019,Apex Manufacturing,7121.11,7121.11,0,328.47,164.23,1936.05,Invoice
FIN00158,ORD00615,2025-10-22,CUST097,Vertex Pvt Ltd,484.55,313.54,171.01,19.57,9.78,175.66,Invoice
FIN00159,ORD00415,2025-12-18,CUST042,National Manufacturing,23393.83,23393.83,0,921.5,460.75,8847.25,Invoice
FIN00160,ORD00074,2025-09-17,CUST057,Apex Enterprises,59000.05,59000.05,0,2245.41,1122.71,23554.59,Invoice
FIN00161,ORD00621,2025-05-26,CUST039,Shree Logistics,18308.33,18308.33,0,653.8,326.9,7987.66,Invoice
FIN00162,ORD00070,2025-08-12,CUST047,Global Pvt Ltd,10474.42,10474.42,0,470.15,235.07,3052.82,Invoice
FIN00163,ORD01608,2025-04-30,CUST053,United Manufacturing,3760.16,3760.16,0,162.25,81.12,1198.99,Invoice
FIN00164,ORD01319,2025-01-31,CUST006,Vertex Enterprises,129893.8,129893.8,0,5145.7,2572.85,48665.26,Invoice
FIN00165,ORD00786,2025-11-25,CUST009,Prime Industries,2796.03,370.75,2425.28,107.65,53.83,1096.67,Invoice
FIN00166,ORD00778,2025-07-05,CUST048,Sunrise Manufacturing,12255.17,12255.17,0,503.44,251.72,4308.08,Invoice
FIN00167,ORD01755,2025-07-20,CUST093,Om Traders,307.99,307.99,0,11.94,5.97,119.54,Invoice
FIN00168,ORD00451,2025-07-16,CUST057,Apex Enterprises,123185.93,123185.93,0,6328.48,3164.24,23286.34,Invoice
FIN00169,ORD00846,2025-09-05,CUST043,Om Logistics,72960.16,252.13,72708.03,3914,1957,11174.95,Invoice
FIN00170,ORD00845,2025-07-12,CUST065,Apex Logistics,7949.04,7949.04,0,316.59,158.3,2951.37,Invoice
FIN00171,ORD00868,2025-04-19,CUST088,United Manufacturing,45563.98,45563.98,0,1981.25,990.63,14288.5,Invoice
FIN00172,ORD00850,2025-11-02,CUST076,Metro Manufacturing,1146.04,1146.04,0,50.02,25.01,356.47,Invoice
FIN00173,ORD01263,2025-01-30,CUST101,Vertex Manufacturing,3987.8,3987.8,0,155.61,77.81,1531.34,Invoice
FIN00174,ORD00077,2025-03-23,CUST067,Metro Manufacturing,19004.67,19004.67,0,754.09,377.04,7100.84,Invoice
FIN00175,ORD01506,2025-05-15,CUST082,Global Enterprises,10026.38,10026.38,0,461.36,230.68,2743.42,Invoice
FIN00176,ORD00938,2025-04-12,CUST061,Apex Industries,1357.68,947.37,410.31,57.21,28.61,454.52,Invoice
FIN00177,ORD01522,2025-10-14,CUST009,Prime Industries,203.66,203.66,0,8.22,4.11,73.89,Invoice
FIN00178,ORD01287,2025-02-06,CUST101,Vertex Manufacturing,783774.52,783774.52,0,34590.54,17295.27,237738.21,Invoice
FIN00179,ORD00781,2025-11-19,CUST078,Shree Industries,73700.49,73700.49,0,3074.64,1537.32,25165.03,Invoice
FIN00180,ORD01363,2025-11-20,CUST097,Vertex Pvt Ltd,6252595.36,6252595.36,0,284237.17,142118.58,1765708.63,Invoice
FIN00181,ORD01327,2025-08-19,CUST017,Global Logistics,25429.61,25429.61,0,934.13,467.07,10683.68,Invoice
FIN00182,ORD00702,2025-01-07,CUST059,Global Manufacturing,279.8,113.33,166.47,11.7,5.85,95.12,Invoice
FIN00183,ORD01240,2025-12-22,CUST078,Shree Industries,62393.07,62393.07,0,2654.26,1327.13,20493.61,Invoice
FIN00184,ORD00706,2025-11-21,CUST033,Om Manufacturing,3205.5,1222.15,1983.35,130.26,65.13,1149.33,Invoice
FIN00185,ORD01321,2025-05-10,CUST052,United Manufacturing,6966.68,6966.68,0,306.39,153.2,2130.04,Invoice
FIN00186,ORD00031,2025-07-16,CUST062,Global Industries,5350.58,2959.38,2391.2,228.45,114.22,1744.41,Invoice
FIN00187,ORD01320,2025-05-08,CUST003,Prime Logistics,26606.5,26606.5,0,1042.7,521.35,10146.69,Invoice
FIN00188,ORD01465,2025-12-07,CUST021,National Pvt Ltd,1225.91,844.34,381.57,57.51,28.75,318.08,Invoice
FIN00189,ORD01636,2025-10-14,CUST098,Prime Pvt Ltd,492.42,492.42,0,18.87,9.43,194.55,Invoice
FIN00190,ORD00368,2025-10-04,CUST105,United Pvt Ltd,5165.84,5165.84,0,240.37,120.18,1371.48,Invoice
FIN00191,ORD00409,2025-05-01,CUST061,Apex Industries,113069.47,49776.92,63292.55,4547.95,2273.97,41276.84,Invoice
FIN00192,ORD01030,2025-03-24,CUST002,Global Pvt Ltd,14341.12,14341.12,0,611.07,305.53,4694.95,Invoice
FIN00193,ORD01396,2025-04-14,CUST026,Prime Manufacturing,954.76,535.74,419.02,36.17,18.08,383.82,Invoice
FIN00194,ORD01413,2025-12-18,CUST102,Global Logistics,7400.55,3000.91,4399.64,334.33,167.16,2122.93,Invoice
FIN00195,ORD00100,2025-01-17,CUST060,Om Pvt Ltd,723.83,723.83,0,28.03,14.01,281.39,Invoice
FIN00196,ORD01145,2025-10-08,CUST101,Vertex Manufacturing,3995.74,3995.74,0,178.89,89.45,1171.82,Invoice
FIN00197,ORD01109,2025-12-31,CUST120,Prime Manufacturing,10412.41,10412.41,0,492.02,246.01,2645.55,Invoice
FIN00198,ORD01638,2025-01-09,CUST012,Shree Pvt Ltd,11353.87,11353.87,0,449.1,224.55,4264.49,Invoice
FIN00199,ORD01090,2025-09-29,CUST081,Vertex Industries,3693.51,2684.73,1008.78,161.05,80.52,1151.23,Invoice
FIN00200,ORD00856,2025-10-23,CUST036,National Industries,11353.21,11353.21,0,518.53,259.26,3167.9,Invoice
FIN00201,ORD00788,2025-05-12,CUST033,Om Manufacturing,64532.62,7906.99,56625.63,2827.84,1413.92,19893.19,Invoice
FIN00202,ORD00169,2025-02-15,CUST091,Metro Pvt Ltd,12401.29,12401.29,0,543.34,271.67,3824.28,Invoice
FIN00203,ORD00943,2025-10-16,CUST094,Sunrise Traders,42505.45,42505.45,0,1860.68,930.34,13133.35,Invoice
FIN00204,ORD00213,2025-07-10,CUST006,Vertex Enterprises,15116.47,6880.71,8235.76,559.54,279.77,6283.8,Invoice
FIN00205,ORD01545,2025-01-11,CUST001,Prime Industries,70759.28,70759.28,0,2737.9,1368.95,27539.55,Invoice
FIN00206,ORD01044,2025-09-17,CUST044,Apex Industries,25684.01,25684.01,0,976.86,488.43,10263.61,Invoice
FIN00207,ORD01728,2025-07-02,CUST012,Shree Pvt Ltd,185961.9,114550.03,71411.87,8791.22,4395.61,47186.22,Invoice
FIN00208,ORD00481,2025-04-14,CUST116,United Manufacturing,107979.53,107979.53,0,4767.27,2383.63,32724.8,Invoice
FIN00209,ORD01594,2025-03-05,CUST026,Prime Manufacturing,608090.42,608090.42,0,27936.6,13968.3,167091.2,Invoice
FIN00210,ORD01441,2025-08-14,CUST073,Vertex Industries,103087.09,47952.54,55134.55,3979.75,1989.88,40263.82,Invoice
FIN00211,ORD01747,2025-09-03,CUST061,Apex Industries,1128.83,137.77,991.06,47.85,23.93,373.43,Invoice
FIN00212,ORD00033,2025-04-07,CUST078,Shree Industries,20407.13,20407.13,0,803.56,401.78,7722.38,Invoice
FIN00213,ORD00918,2025-04-29,CUST079,Shree Manufacturing,5117.57,5117.57,0,209.27,104.63,1814.14,Invoice
FIN00214,ORD01164,2025-06-22,CUST032,Vertex Industries,3544.36,304.98,3239.38,147.01,73.5,1223.74,Invoice
FIN00215,ORD00421,2025-09-14,CUST056,National Enterprises,9217.52,9217.52,0,373.95,186.98,3314.38,Invoice
FIN00216,ORD01443,2025-11-17,CUST029,Prime Pvt Ltd,199528.75,199528.75,0,10062.12,5031.06,40691.01,Invoice
