Customer_ID,Customer_Name,Industry,City,State,Region,Customer_Size
CUST076,Metro Manufacturing,Textiles,Delhi,Delhi,North,Large
CUST077,Shree Industries,FMCG,Vijayawada,Andhra Pradesh,South,Large
CUST078,Shree Industries,Automotive,Chennai,Tamil Nadu,South,Medium
CUST079,Shree Manufacturing,Logistics,Indore,Madhya Pradesh,Central,Large
CUST080,Vertex Industries,FMCG,Chennai,Tamil Nadu,South,Small
CUST081,Vertex Industries,Engineering,Indore,Madhya Pradesh,Central,Large
CUST082,Global Enterprises,Pharmaceuticals,Coimbatore,Tamil Nadu,South,Small
CUST083,Metro Industries,Engineering,Jaipur,Rajasthan,North,Small
CUST084,Prime Traders,Chemicals,Noida,Uttar Pradesh,North,Medium
CUST085,Global Manufacturing,Pharmaceuticals,Bhubaneswar,Odisha,East,Small
CUST086,Apex Manufacturing,Engineering,Chennai,Tamil Nadu,South,Medium
CUST087,Shree Manufacturing,FMCG,Noida,Uttar Pradesh,North,Medium
CUST088,United Manufacturing,Electronics,Pune,Maharashtra,West,Medium
CUST089,Shree Manufacturing,Electronics,Chandigarh,Chandigarh,North,Small
CUST090,Sunrise Traders,Textiles,Delhi,Delhi,North,Small
CUST091,Metro Pvt Ltd,Chemicals,Gurugram,Haryana,North,Medium
CUST092,Metro Industries,FMCG,Coimbatore,Tamil Nadu,South,Medium
CUST093,Om Traders,Automotive,Bhopal,Madhya Pradesh,Central,Small
CUST094,Sunrise Traders,Engineering,Bhubaneswar,Odisha,East,Medium
CUST095,Vertex Industries,Retail,Bhubaneswar,Odisha,East,Large
CUST096,Shree Industries,Retail,Delhi,Delhi,North,Small
CUST097,Vertex Pvt Ltd,Electronics,Kochi,Kerala,South,Medium
CUST098,Prime Pvt Ltd,Engineering,Chennai,Tamil Nadu,South,Large
CUST099,Prime Pvt Ltd,Textiles,Ludhiana,Punjab,North,Large
CUST100,Sunrise Traders,Retail,Jaipur,Rajasthan,North,Large
CUST101,Vertex Manufacturing,Electronics,Jaipur,Rajasthan,North,Medium
CUST102,Global Logistics,Textiles,Bengaluru,Karnataka,South,Medium
CUST103,Apex Traders,Textiles,Coimbatore,Tamil Nadu,South,Small
CUST104,Om Logistics,Engineering,Chennai,Tamil Nadu,South,Medium
CUST105,United Pvt Ltd,Electronics,Hyderabad,Telangana,South,Large
CUST106,Global Pvt Ltd,FMCG,Vijayawada,Andhra Pradesh,South,Medium
CUST107,Om Traders,FMCG,Kochi,Kerala,South,Small
CUST108,National Manufacturing,Pharmaceuticals,Jaipur,Rajasthan,North,Small
CUST109,National Enterprises,FMCG,Pune,Maharashtra,West,Medium
CUST110,Om Manufacturing,Retail,Chennai,Tamil Nadu,South,Medium
CUST111,National Manufacturing,Automotive,Bengaluru,Karnataka,South,Small
CUST112,National Manufacturing,Chemicals,Chennai,Tamil Nadu,South,Medium
CUST113,Vertex Manufacturing,FMCG,Pune,Maharashtra,West,Medium
CUST114,United Pvt Ltd,Chemicals,Indore,Madhya Pradesh,Central,Large
CUST115,Metro Enterprises,Chemicals,Bhubaneswar,Odisha,East,Medium
CUST116,United Manufacturing,Logistics,Coimbatore,Tamil Nadu,South,Medium
CUST117,National Pvt Ltd,Textiles,Gurugram,Haryana,North,Large
CUST118,National Traders,Logistics,Vijayawada,Andhra Pradesh,South,Small
CUST119,National Traders,Engineering,Jaipur,Rajasthan,North,Medium
CUST120,Prime Manufacturing,Pharmaceuticals,Coimbatore,Tamil Nadu,South,Small
