Snapshot_Month,Product_ID,Product_Name,Category,Opening_Stock,Purchases,Consumption,Closing_Stock,Reorder_Level,Stock_Status
2025-11-01,P009,Manual Strapping Tool,Packaging Tools & Equipment,329,198,351,176,157,Normal
2025-11-01,P010,Battery Strapping Machine,Packaging Tools & Equipment,152,133,92,193,41,Excess Stock
2025-11-01,P011,5-Ply Corrugated Box,Customized Carton Boxes,358,300,443,215,199,Normal
2025-11-01,P012,7-Ply Corrugated Box,Customized Carton Boxes,173,164,353,0,158,Low Stock
2025-11-01,P013,Platform Trolley,Material Handling,307,161,40,428,20,Excess Stock
2025-11-01,P014,Hand Pallet Truck,Material Handling,245,275,195,325,87,Excess Stock
2025-12-01,P001,PP Strapping Roll,Strapping Solutions,52,299,441,0,198,Low Stock
2025-12-01,P002,PET Strapping Roll,Strapping Solutions,77,210,361,0,162,Low Stock
2025-12-01,P003,Bubble Wrap Roll,Protective Packaging,503,425,256,672,115,Excess Stock
2025-12-01,P004,EPE Foam Roll,Protective Packaging,92,146,386,0,173,Low Stock
2025-12-01,P005,Stretch Film Roll,Stretch / Film Solutions,61,109,288,0,129,Low Stock
2025-12-01,P006,Shrink Film Roll,Stretch / Film Solutions,394,66,124,336,55,Excess Stock
2025-12-01,P007,Wooden Pallet,Pallet Solutions,59,194,242,11,108,Low Stock
2025-12-01,P008,Plastic Pallet,Pallet Solutions,176,285,399,62,179,Low Stock
2025-12-01,P009,Manual Strapping Tool,Packaging Tools & Equipment,398,492,154,736,69,Excess Stock
2025-12-01,P010,Battery Strapping Machine,Packaging Tools & Equipment,221,228,153,296,68,Excess Stock
2025-12-01,P011,5-Ply Corrugated Box,Customized Carton Boxes,77,130,214,0,96,Low Stock
2025-12-01,P012,7-Ply Corrugated Box,Customized Carton Boxes,499,443,134,808,60,Excess Stock
2025-12-01,P013,Platform Trolley,Material Handling,390,80,251,219,112,Normal
2025-12-01,P014,Hand Pallet Truck,Material Handling,83,431,33,481,20,Excess Stock
