Order_ID,Order_Date,Product_ID,Product_Name,Category,Quantity,Planned_Production_Date,Production_Completion_Date,Production_Status,Production_Days,Planned_Qty,Actual_Qty,Production_Completion_%
ORD00079,2025-12-06,P012,7-Ply Corrugated Box,Customized Carton Boxes,61,2025-12-11,2025-12-13,Completed,2,61,61,1
ORD00080,2025-09-27,P003,Bubble Wrap Roll,Protective Packaging,34,2025-09-29,2025-10-05,Completed,6,34,34,1
ORD00081,2025-04-26,P005,Stretch Film Roll,Stretch / Film Solutions,11,2025-04-29,2025-05-01,Completed,2,11,11,1
ORD00082,2025-11-02,P005,Stretch Film Roll,Stretch / Film Solutions,23,2025-11-07,2025-11-09,Completed,2,23,23,1
ORD00083,2025-05-02,P012,7-Ply Corrugated Box,Customized Carton Boxes,6,2025-05-07,2025-05-12,Completed,5,6,6,1
ORD00084,2025-08-14,P004,EPE Foam Roll,Protective Packaging,79,2025-08-19,2025-08-26,Completed,7,79,79,1
ORD00085,2025-11-25,P012,7-Ply Corrugated Box,Customized Carton Boxes,8,2025-11-30,2025-12-07,Completed,7,8,8,1
ORD00086,2025-08-19,P007,Wooden Pallet,Pallet Solutions,36,2025-08-25,2025-08-27,Completed,2,36,36,1
ORD00087,2025-09-15,P002,PET Strapping Roll,Strapping Solutions,50,2025-09-19,2025-09-21,Completed,2,50,50,1
ORD00088,2025-08-30,P003,Bubble Wrap Roll,Protective Packaging,53,2025-09-02,2025-09-09,In Production,7,53,27,0.509433962
ORD00089,2025-09-28,P006,Shrink Film Roll,Stretch / Film Solutions,8,2025-10-03,2025-10-04,Completed,1,8,8,1
ORD00090,2025-11-02,P001,PP Strapping Roll,Strapping Solutions,400,2025-11-08,2025-11-09,Completed,1,400,400,1
ORD00091,2025-04-06,P009,Manual Strapping Tool,Packaging Tools & Equipment,32,2025-04-08,2025-04-13,Completed,5,32,32,1
ORD00092,2025-11-22,P004,EPE Foam Roll,Protective Packaging,30,2025-11-27,2025-11-30,Completed,3,30,30,1
ORD00093,2025-06-20,P008,Plastic Pallet,Pallet Solutions,26,2025-06-23,2025-06-24,Completed,1,26,26,1
ORD00094,2025-02-02,P006,Shrink Film Roll,Stretch / Film Solutions,10,2025-02-07,2025-02-08,In Production,1,10,6,0.6
ORD00095,2025-05-10,P011,5-Ply Corrugated Box,Customized Carton Boxes,74,2025-05-12,2025-05-19,In Production,7,74,55,0.743243243
ORD00096,2025-08-14,P006,Shrink Film Roll,Stretch / Film Solutions,58,2025-08-19,2025-08-22,Completed,3,58,58,1
ORD00097,2025-04-03,P008,Plastic Pallet,Pallet Solutions,22,2025-04-09,2025-04-12,Completed,3,22,22,1
ORD00098,2025-08-17,P006,Shrink Film Roll,Stretch / Film Solutions,18,2025-08-19,2025-08-25,Completed,6,18,18,1
ORD00099,2025-12-14,P010,Battery Strapping Machine,Packaging Tools & Equipment,11,2025-12-17,2025-12-18,Completed,1,11,11,1
ORD00100,2025-01-17,P011,5-Ply Corrugated Box,Customized Carton Boxes,12,2025-01-23,2025-01-25,Completed,2,12,12,1
ORD00101,2025-05-23,P008,Plastic Pallet,Pallet Solutions,10,2025-05-26,2025-05-27,Completed,1,10,10,1
ORD00102,2025-11-10,P006,Shrink Film Roll,Stretch / Film Solutions,23,2025-11-14,2025-11-20,Completed,6,23,23,1
ORD00103,2025-06-27,P011,5-Ply Corrugated Box,Customized Carton Boxes,132,2025-06-29,2025-07-04,In Production,5,132,98,0.742424242
ORD00104,2025-04-13,P001,PP Strapping Roll,Strapping Solutions,100,2025-04-16,2025-04-18,Completed,2,100,100,1
ORD00105,2025-06-08,P002,PET Strapping Roll,Strapping Solutions,400,2025-06-13,2025-06-19,Completed,6,400,400,1
ORD00106,2025-08-27,P001,PP Strapping Roll,Strapping Solutions,500,2025-09-02,2025-09-05,Completed,3,500,500,1
ORD00107,2025-03-20,P003,Bubble Wrap Roll,Protective Packaging,25,2025-03-24,2025-03-26,Completed,2,25,25,1
ORD00108,2025-10-10,P006,Shrink Film Roll,Stretch / Film Solutions,42,2025-10-14,2025-10-16,Completed,2,42,42,1
ORD00109,2025-11-06,P008,Plastic Pallet,Pallet Solutions,49,2025-11-10,2025-11-17,Completed,7,49,49,1
ORD00110,2025-08-02,P003,Bubble Wrap Roll,Protective Packaging,8,2025-08-08,2025-08-14,Completed,6,8,8,1
ORD00111,2025-06-02,P003,Bubble Wrap Roll,Protective Packaging,36,2025-06-07,2025-06-08,Completed,1,36,36,1
ORD00112,2025-06-26,P011,5-Ply Corrugated Box,Customized Carton Boxes,8,2025-07-01,2025-07-03,Completed,2,8,8,1
ORD00113,2025-01-26,P010,Battery Strapping Machine,Packaging Tools & Equipment,26,2025-01-30,2025-02-03,In Production,4,26,10,0.384615385
ORD00114,2025-09-21,P014,Hand Pallet Truck,Material Handling,25,2025-09-26,2025-09-30,Completed,4,25,25,1
ORD00115,2025-12-01,P005,Stretch Film Roll,Stretch / Film Solutions,5,2025-12-06,2025-12-09,Completed,3,5,5,1
ORD00116,2025-01-27,P006,Shrink Film Roll,Stretch / Film Solutions,83,2025-02-02,2025-02-07,Completed,5,83,83,1
ORD00117,2025-11-09,P001,PP Strapping Roll,Strapping Solutions,100,2025-11-11,2025-11-13,Pending,2,100,0,0
ORD00118,2025-07-25,P007,Wooden Pallet,Pallet Solutions,15,2025-07-31,2025-08-01,In Production,1,15,11,0.733333333
ORD00119,2025-06-13,P005,Stretch Film Roll,Stretch / Film Solutions,6,2025-06-16,2025-06-20,Completed,4,6,6,1
ORD00120,2025-06-19,P002,PET Strapping Roll,Strapping Solutions,50,2025-06-21,2025-06-25,Completed,4,50,50,1
ORD00121,2025-04-27,P004,EPE Foam Roll,Protective Packaging,52,2025-04-29,2025-05-04,Completed,5,52,52,1
ORD00122,2025-12-25,P011,5-Ply Corrugated Box,Customized Carton Boxes,6,2025-12-27,2025-12-29,Completed,2,6,6,1
ORD00123,2025-02-01,P003,Bubble Wrap Roll,Protective Packaging,7,2025-02-04,2025-02-09,Completed,5,7,7,1
ORD00124,2025-10-07,P008,Plastic Pallet,Pallet Solutions,37,2025-10-11,2025-10-17,Pending,6,37,0,0
ORD00125,2025-04-17,P003,Bubble Wrap Roll,Protective Packaging,13,2025-04-22,2025-04-25,In Production,3,13,5,0.384615385
ORD00126,2025-06-26,P012,7-Ply Corrugated Box,Customized Carton Boxes,48,2025-06-29,2025-07-02,Completed,3,48,48,1
ORD00127,2025-05-19,P003,Bubble Wrap Roll,Protective Packaging,44,2025-05-25,2025-05-31,Completed,6,44,44,1
ORD00128,2025-01-27,P001,PP Strapping Roll,Strapping Solutions,100,2025-01-29,2025-02-02,Completed,4,100,100,1
ORD00129,2025-11-30,P003,Bubble Wrap Roll,Protective Packaging,65,2025-12-03,2025-12-10,Completed,7,65,65,1
ORD00130,2025-08-02,P005,Stretch Film Roll,Stretch / Film Solutions,15,2025-08-05,2025-08-06,Completed,1,15,15,1
ORD00131,2025-06-21,P003,Bubble Wrap Roll,Protective Packaging,38,2025-06-25,2025-06-29,In Production,4,38,25,0.657894737
ORD00132,2025-08-23,P005,Stretch Film Roll,Stretch / Film Solutions,50,2025-08-27,2025-09-02,In Production,6,50,33,0.66
ORD00133,2025-07-27,P011,5-Ply Corrugated Box,Customized Carton Boxes,8,2025-08-01,2025-08-06,Completed,5,8,8,1
ORD00134,2025-08-17,P004,EPE Foam Roll,Protective Packaging,19,2025-08-21,2025-08-24,Completed,3,19,19,1
ORD00135,2025-08-27,P006,Shrink Film Roll,Stretch / Film Solutions,91,2025-08-31,2025-09-02,In Production,2,91,33,0.362637363
ORD00136,2025-11-11,P005,Stretch Film Roll,Stretch / Film Solutions,13,2025-11-14,2025-11-16,Completed,2,13,13,1
ORD00137,2025-04-22,P014,Hand Pallet Truck,Material Handling,9,2025-04-25,2025-05-01,Completed,6,9,9,1
ORD00138,2025-04-14,P006,Shrink Film Roll,Stretch / Film Solutions,37,2025-04-20,2025-04-25,Completed,5,37,37,1
ORD00139,2025-01-29,P001,PP Strapping Roll,Strapping Solutions,420,2025-02-03,2025-02-05,Completed,2,420,420,1
ORD00140,2025-05-11,P007,Wooden Pallet,Pallet Solutions,5,2025-05-13,2025-05-19,Completed,6,5,5,1
ORD00141,2025-07-29,P005,Stretch Film Roll,Stretch / Film Solutions,37,2025-08-01,2025-08-08,In Production,7,37,21,0.567567568
ORD00142,2025-10-04,P004,EPE Foam Roll,Protective Packaging,5,2025-10-07,2025-10-13,Completed,6,5,5,1
ORD00143,2025-06-02,P013,Platform Trolley,Material Handling,3,2025-06-07,2025-06-13,In Production,6,3,1,0.333333333
ORD00144,2025-02-27,P001,PP Strapping Roll,Strapping Solutions,160,2025-03-01,2025-03-08,In Production,7,160,70,0.4375
ORD00145,2025-08-17,P001,PP Strapping Roll,Strapping Solutions,100,2025-08-23,2025-08-29,Completed,6,100,100,1
ORD00146,2025-04-30,P002,PET Strapping Roll,Strapping Solutions,50,2025-05-06,2025-05-09,In Production,3,50,39,0.78
ORD00147,2025-07-31,P006,Shrink Film Roll,Stretch / Film Solutions,35,2025-08-04,2025-08-07,In Production,3,35,13,0.371428571
ORD00148,2025-12-10,P001,PP Strapping Roll,Strapping Solutions,260,2025-12-15,2025-12-22,Completed,7,260,260,1
ORD00149,2025-06-03,P003,Bubble Wrap Roll,Protective Packaging,79,2025-06-06,2025-06-13,Pending,7,79,0,0
ORD00150,2025-06-19,P004,EPE Foam Roll,Protective Packaging,12,2025-06-21,2025-06-25,In Production,4,12,8,0.666666667
ORD00151,2025-10-28,P011,5-Ply Corrugated Box,Customized Carton Boxes,16,2025-11-03,2025-11-05,Completed,2,16,16,1
ORD00152,2025-09-03,P002,PET Strapping Roll,Strapping Solutions,50,2025-09-06,2025-09-12,Completed,6,50,50,1
ORD00153,2025-07-03,P009,Manual Strapping Tool,Packaging Tools & Equipment,44,2025-07-07,2025-07-10,Completed,3,44,44,1
ORD00154,2025-06-10,P012,7-Ply Corrugated Box,Customized Carton Boxes,7,2025-06-15,2025-06-16,Completed,1,7,7,1
ORD00155,2025-06-18,P005,Stretch Film Roll,Stretch / Film Solutions,9,2025-06-21,2025-06-25,Completed,4,9,9,1
ORD00156,2025-03-28,P005,Stretch Film Roll,Stretch / Film Solutions,69,2025-04-01,2025-04-03,In Production,2,69,50,0.724637681
ORD00157,2025-12-09,P012,7-Ply Corrugated Box,Customized Carton Boxes,11,2025-12-11,2025-12-18,Completed,7,11,11,1
ORD00158,2025-11-13,P007,Wooden Pallet,Pallet Solutions,12,2025-11-19,2025-11-23,Completed,4,12,12,1
ORD00159,2025-09-15,P011,5-Ply Corrugated Box,Customized Carton Boxes,20,2025-09-20,2025-09-27,Completed,7,20,20,1
ORD00160,2025-07-23,P001,PP Strapping Roll,Strapping Solutions,100,2025-07-25,2025-07-28,Pending,3,100,0,0
ORD00161,2025-02-17,P003,Bubble Wrap Roll,Protective Packaging,26,2025-02-22,2025-02-26,Completed,4,26,26,1
ORD00162,2025-02-18,P004,EPE Foam Roll,Protective Packaging,15,2025-02-24,2025-02-25,Completed,1,15,15,1
ORD00163,2025-10-06,P001,PP Strapping Roll,Strapping Solutions,570,2025-10-12,2025-10-18,Completed,6,570,570,1
ORD00164,2025-06-03,P003,Bubble Wrap Roll,Protective Packaging,75,2025-06-06,2025-06-11,Completed,5,75,75,1
ORD00165,2025-02-10,P002,PET Strapping Roll,Strapping Solutions,135,2025-02-16,2025-02-22,In Production,6,135,64,0.474074074
ORD00166,2025-11-21,P001,PP Strapping Roll,Strapping Solutions,260,2025-11-25,2025-12-02,Completed,7,260,260,1
ORD00167,2025-05-07,P011,5-Ply Corrugated Box,Customized Carton Boxes,12,2025-05-09,2025-05-10,In Production,1,12,5,0.416666667
ORD00168,2025-01-03,P008,Plastic Pallet,Pallet Solutions,5,2025-01-07,2025-01-11,Completed,4,5,5,1
ORD00169,2025-02-15,P007,Wooden Pallet,Pallet Solutions,13,2025-02-19,2025-02-24,Completed,5,13,13,1
ORD00170,2025-10-14,P011,5-Ply Corrugated Box,Customized Carton Boxes,9,2025-10-17,2025-10-22,Completed,5,9,9,1
ORD00171,2025-08-11,P004,EPE Foam Roll,Protective Packaging,16,2025-08-15,2025-08-19,Completed,4,16,16,1
ORD00172,2025-03-11,P011,5-Ply Corrugated Box,Customized Carton Boxes,32,2025-03-15,2025-03-16,Completed,1,32,32,1
ORD00173,2025-03-11,P002,PET Strapping Roll,Strapping Solutions,115,2025-03-15,2025-03-18,Completed,3,115,115,1
ORD00174,2025-09-09,P003,Bubble Wrap Roll,Protective Packaging,46,2025-09-15,2025-09-22,In Production,7,46,37,0.804347826
ORD00175,2025-12-16,P011,5-Ply Corrugated Box,Customized Carton Boxes,65,2025-12-22,2025-12-23,Completed,1,65,65,1
ORD00176,2025-05-04,P001,PP Strapping Roll,Strapping Solutions,530,2025-05-08,2025-05-14,Completed,6,530,530,1
ORD00177,2025-10-06,P007,Wooden Pallet,Pallet Solutions,39,2025-10-08,2025-10-15,In Production,7,39,18,0.461538462
ORD00178,2025-01-23,P011,5-Ply Corrugated Box,Customized Carton Boxes,5,2025-01-29,2025-02-04,Completed,6,5,5,1
ORD00179,2025-10-13,P002,PET Strapping Roll,Strapping Solutions,165,2025-10-19,2025-10-25,Completed,6,165,165,1
ORD00180,2025-02-23,P001,PP Strapping Roll,Strapping Solutions,100,2025-02-27,2025-03-03,Completed,4,100,100,1
ORD00181,2025-09-05,P009,Manual Strapping Tool,Packaging Tools & Equipment,18,2025-09-09,2025-09-13,Completed,4,18,18,1
ORD00182,2025-02-25,P006,Shrink Film Roll,Stretch / Film Solutions,44,2025-02-28,2025-03-06,Completed,6,44,44,1
ORD00183,2025-04-05,P002,PET Strapping Roll,Strapping Solutions,155,2025-04-08,2025-04-14,In Production,6,155,114,0.735483871
ORD00184,2025-04-16,P008,Plastic Pallet,Pallet Solutions,14,2025-04-20,2025-04-27,Completed,7,14,14,1
ORD00185,2025-09-28,P009,Manual Strapping Tool,Packaging Tools & Equipment,11,2025-10-02,2025-10-07,Completed,5,11,11,1
ORD00186,2025-06-02,P014,Hand Pallet Truck,Material Handling,21,2025-06-08,2025-06-13,Completed,5,21,21,1
ORD00187,2025-11-02,P002,PET Strapping Roll,Strapping Solutions,70,2025-11-05,2025-11-10,Completed,5,70,70,1
ORD00188,2025-04-06,P003,Bubble Wrap Roll,Protective Packaging,21,2025-04-10,2025-04-17,Pending,7,21,0,0
ORD00189,2025-09-11,P012,7-Ply Corrugated Box,Customized Carton Boxes,6,2025-09-16,2025-09-22,Completed,6,6,6,1
ORD00190,2025-01-17,P006,Shrink Film Roll,Stretch / Film Solutions,40,2025-01-21,2025-01-23,Completed,2,40,40,1
ORD00191,2025-05-18,P007,Wooden Pallet,Pallet Solutions,27,2025-05-24,2025-05-31,Completed,7,27,27,1
ORD00192,2025-06-02,P010,Battery Strapping Machine,Packaging Tools & Equipment,9,2025-06-04,2025-06-08,Completed,4,9,9,1
ORD00193,2025-06-29,P008,Plastic Pallet,Pallet Solutions,271,2025-07-05,2025-07-11,In Production,6,271,160,0.590405904
ORD00194,2025-10-03,P003,Bubble Wrap Roll,Protective Packaging,9,2025-10-06,2025-10-09,Pending,3,9,0,0
ORD00195,2025-05-22,P011,5-Ply Corrugated Box,Customized Carton Boxes,8,2025-05-25,2025-05-31,Completed,6,8,8,1
ORD00196,2025-11-20,P004,EPE Foam Roll,Protective Packaging,8,2025-11-24,2025-11-30,Completed,6,8,8,1
ORD00197,2025-08-21,P007,Wooden Pallet,Pallet Solutions,15,2025-08-26,2025-08-29,In Production,3,15,6,0.4
ORD00198,2025-07-23,P002,PET Strapping Roll,Strapping Solutions,75,2025-07-26,2025-07-30,In Production,4,75,42,0.56
ORD00199,2025-12-16,P010,Battery Strapping Machine,Packaging Tools & Equipment,10,2025-12-18,2025-12-19,Completed,1,10,10,1
ORD00200,2025-06-04,P008,Plastic Pallet,Pallet Solutions,9,2025-06-07,2025-06-14,Completed,7,9,9,1
ORD00201,2025-06-06,P011,5-Ply Corrugated Box,Customized Carton Boxes,13,2025-06-09,2025-06-13,Completed,4,13,13,1
ORD00202,2025-06-25,P002,PET Strapping Roll,Strapping Solutions,150,2025-06-27,2025-07-04,Completed,7,150,150,1
ORD00203,2025-06-03,P011,5-Ply Corrugated Box,Customized Carton Boxes,29,2025-06-06,2025-06-10,Completed,4,29,29,1
ORD00204,2025-03-19,P011,5-Ply Corrugated Box,Customized Carton Boxes,104,2025-03-24,2025-03-29,Completed,5,104,104,1
ORD00205,2025-03-13,P008,Plastic Pallet,Pallet Solutions,17,2025-03-16,2025-03-19,Completed,3,17,17,1
ORD00206,2025-04-16,P002,PET Strapping Roll,Strapping Solutions,50,2025-04-22,2025-04-27,Completed,5,50,50,1
ORD00207,2025-05-04,P009,Manual Strapping Tool,Packaging Tools & Equipment,147,2025-05-09,2025-05-15,Pending,6,147,0,0
ORD00208,2025-07-07,P004,EPE Foam Roll,Protective Packaging,22,2025-07-13,2025-07-19,Completed,6,22,22,1
ORD00209,2025-01-31,P001,PP Strapping Roll,Strapping Solutions,370,2025-02-05,2025-02-10,Completed,5,370,370,1
ORD00210,2025-05-23,P007,Wooden Pallet,Pallet Solutions,4,2025-05-25,2025-05-28,Pending,3,4,0,0
ORD00211,2025-12-15,P012,7-Ply Corrugated Box,Customized Carton Boxes,36,2025-12-17,2025-12-20,In Production,3,36,17,0.472222222
ORD00212,2025-12-03,P002,PET Strapping Roll,Strapping Solutions,50,2025-12-06,2025-12-07,Completed,1,50,50,1
