Order_ID,Order_Date,Customer_ID,Customer_Name,Industry,City,State,Region,Customer_Size,Product_ID,Category,Product_Name,UOM,Quantity,Unit_Price_INR,Discount,Sales_INR,Cost_INR,Gross_Profit_INR,Ship_Mode,Planned_Production_Date,Production_Completion_Date,Dispatch_Date,Promised_Date,Production_Status,Dispatch_Status,Payment_Status,Amount_Paid_INR,Outstanding_INR,Salesperson_ID,Gross_Margin_%,Production_Days,Dispatch_Delay_Days,On_Time_Dispatch
ORD00017,2025-01-28,CUST096,Shree Industries,Retail,Delhi,Delhi,North,Small,P004,Protective Packaging,EPE Foam Roll,Roll,77,1453.14,0.03,111891.8,67416.69,44475.11,Standard,2025-02-03,2025-02-06,2025-02-09,2025-02-09,Completed,Dispatched,Paid,111891.8,0,SP05,0.397483194,3,0,Yes
ORD00018,2025-09-02,CUST014,National Industries,Retail,Ahmedabad,Gujarat,West,Medium,P003,Protective Packaging,Bubble Wrap Roll,Roll,9,786.02,0,7074.17,4701.06,2373.11,Express,2025-09-04,2025-09-11,2025-09-11,2025-09-13,Completed,Dispatched,Partially Paid,4068.61,3005.56,SP02,0.335461263,7,0,Yes
ORD00019,2025-05-08,CUST037,Prime Pvt Ltd,Logistics,Ahmedabad,Gujarat,West,Small,P003,Protective Packaging,Bubble Wrap Roll,Roll,61,937.49,0.02,57187.18,32582.55,24604.63,Scheduled,2025-05-10,2025-05-15,2025-05-18,2025-05-22,Completed,Dispatched,Partially Paid,26817.43,30369.75,SP07,0.430247304,5,0,Yes
ORD00020,2025-06-06,CUST118,National Traders,Logistics,Vijayawada,Andhra Pradesh,South,Small,P003,Protective Packaging,Bubble Wrap Roll,Roll,20,846.01,0.03,16920.18,10636.09,6284.09,Standard,2025-06-12,2025-06-17,2025-06-17,2025-06-20,Completed,Dispatched,Partially Paid,10391.89,6528.29,SP04,0.371396167,5,0,Yes
ORD00021,2025-03-30,CUST114,United Pvt Ltd,Chemicals,Indore,Madhya Pradesh,Central,Large,P002,Strapping Solutions,PET Strapping Roll,Kg,310,126.65,0.05,39262.84,21520.84,17742,Scheduled,2025-04-05,2025-04-06,2025-04-07,2025-04-04,Completed,Dispatched,Paid,39262.84,0,SP05,0.451877653,1,3,No
ORD00022,2025-12-26,CUST063,Prime Logistics,FMCG,Bhopal,Madhya Pradesh,Central,Large,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,32,658.83,0.05,21082.56,11309.42,9773.14,Scheduled,2025-12-31,2026-01-01,2026-01-02,2026-01-04,Completed,Pending,Partially Paid,11971.2,9111.36,SP03,0.463565146,1,0,Yes
ORD00023,2025-05-17,CUST025,Global Logistics,Logistics,Noida,Uttar Pradesh,North,Small,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,9,91.75,0.05,825.78,522.99,302.79,Express,2025-05-20,2025-05-21,2025-05-21,2025-05-24,Completed,Dispatched,Partially Paid,443.84,381.94,SP12,0.366671511,1,0,Yes
ORD00024,2025-07-26,CUST036,National Industries,Electronics,Jaipur,Rajasthan,North,Large,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,9,54.33,0.1,488.98,309.77,179.21,Standard,2025-07-30,2025-08-04,2025-08-08,2025-08-07,Completed,Dispatched,Outstanding,18.36,470.62,SP04,0.366497607,5,1,No
ORD00025,2025-12-12,CUST091,Metro Pvt Ltd,Chemicals,Gurugram,Haryana,North,Medium,P001,Strapping Solutions,PP Strapping Roll,Meter,160,89.67,0.08,14346.43,8765.13,5581.3,Standard,2025-12-18,2025-12-23,2025-12-23,2025-12-21,Completed,Dispatched,Paid,14346.43,0,SP10,0.389037552,5,2,No
ORD00026,2025-08-12,CUST066,Om Logistics,Engineering,Kolkata,West Bengal,East,Medium,P008,Pallet Solutions,Plastic Pallet,Nos,12,2289.55,0.05,27474.58,19353.67,8120.91,Scheduled,2025-08-17,2025-08-18,2025-08-21,2025-08-22,Completed,Dispatched,Paid,27474.58,0,SP08,0.295579041,1,0,Yes
ORD00027,2025-05-28,CUST016,Shree Pvt Ltd,FMCG,Delhi,Delhi,North,Large,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,45,85.77,0.05,3859.76,2646.62,1213.14,Scheduled,2025-06-02,2025-06-09,2025-06-13,2025-06-02,Completed,Dispatched,Paid,3859.76,0,SP01,0.314304516,7,11,No
ORD00028,2025-12-03,CUST114,United Pvt Ltd,Chemicals,Indore,Madhya Pradesh,Central,Large,P001,Strapping Solutions,PP Strapping Roll,Meter,250,99.54,0.1,24886.2,14547.65,10338.55,Express,2025-12-09,2025-12-13,2025-12-16,2025-12-08,Completed,Dispatched,Partially Paid,9223.94,15662.26,SP09,0.415433051,4,8,No
ORD00029,2025-03-09,CUST069,United Logistics,FMCG,Mumbai,Maharashtra,West,Small,P014,Material Handling,Hand Pallet Truck,Nos,18,17059.47,0.05,307070.4,228230.62,78839.78,Standard,2025-03-13,2025-03-17,2025-03-26,2025-03-15,In Production,Dispatched,Partially Paid,175306.66,131763.74,SP04,0.256748225,4,11,No
ORD00030,2025-02-28,CUST041,Metro Enterprises,Chemicals,Patna,Bihar,East,Medium,P013,Material Handling,Platform Trolley,Nos,14,7706.37,0.03,107889.25,80392.13,27497.12,Scheduled,2025-03-05,2025-03-06,2025-03-07,2025-03-12,Completed,Dispatched,Partially Paid,48279.62,59609.63,SP03,0.254864317,1,0,Yes
ORD00031,2025-07-16,CUST062,Global Industries,Chemicals,Kochi,Kerala,South,Small,P006,Stretch / Film Solutions,Shrink Film Roll,Roll,7,764.37,0,5350.58,3263.5,2087.08,Standard,2025-07-19,2025-07-24,2025-07-28,2025-07-23,Completed,Dispatched,Partially Paid,2959.38,2391.2,SP05,0.390066124,5,5,No
ORD00032,2025-06-02,CUST019,Apex Manufacturing,Automotive,Ludhiana,Punjab,North,Medium,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,5,572.22,0.05,2861.09,1840.02,1021.07,Express,2025-06-08,2025-06-13,2025-06-16,2025-06-09,Completed,Dispatched,Paid,2861.09,0,SP06,0.356881468,5,7,No
ORD00033,2025-04-07,CUST078,Shree Industries,Automotive,Chennai,Tamil Nadu,South,Medium,P001,Strapping Solutions,PP Strapping Roll,Meter,200,102.04,0.03,20407.13,11479.41,8927.72,Scheduled,2025-04-10,2025-04-15,2025-04-18,2025-04-15,Completed,Dispatched,Paid,20407.13,0,SP11,0.43748043,5,3,No
ORD00034,2025-03-19,CUST005,Apex Logistics,Electronics,Bhubaneswar,Odisha,East,Large,P002,Strapping Solutions,PET Strapping Roll,Kg,180,127.79,0.08,23002.17,13534.49,9467.68,Scheduled,2025-03-24,2025-03-25,2025-03-26,2025-04-01,Completed,Dispatched,Paid,23002.17,0,SP08,0.411599427,1,0,Yes
ORD00035,2025-01-08,CUST001,Prime Industries,Textiles,Patna,Bihar,East,Small,P004,Protective Packaging,EPE Foam Roll,Roll,23,1503.04,0.05,34569.93,20198.57,14371.36,Standard,2025-01-11,2025-01-15,2025-01-16,2025-01-14,Pending,Dispatched,Paid,34569.93,0,SP06,0.415718516,4,2,No
ORD00036,2025-12-12,CUST057,Apex Enterprises,Textiles,Bengaluru,Karnataka,South,Medium,P008,Pallet Solutions,Plastic Pallet,Nos,10,2445.67,0.05,24456.71,16777.61,7679.1,Scheduled,2025-12-18,2025-12-22,2025-12-24,2025-12-24,Completed,Dispatched,Paid,24456.71,0,SP02,0.31398745,4,0,Yes
ORD00037,2025-08-11,CUST101,Vertex Manufacturing,Electronics,Jaipur,Rajasthan,North,Medium,P008,Pallet Solutions,Plastic Pallet,Nos,8,2394.36,0.02,19154.87,12814.21,6340.66,Express,2025-08-13,2025-08-20,2025-08-20,2025-08-23,Completed,Dispatched,Paid,19154.87,0,SP06,0.33102078,7,0,Yes
ORD00038,2025-08-09,CUST036,National Industries,Electronics,Jaipur,Rajasthan,North,Large,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,23,99.19,0.03,2281.32,1344.97,936.35,Scheduled,2025-08-12,2025-08-14,2025-08-18,2025-08-20,In Production,Dispatched,Paid,2281.32,0,SP04,0.4104422,2,0,Yes
ORD00039,2025-09-12,CUST115,Metro Enterprises,Chemicals,Bhubaneswar,Odisha,East,Medium,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,33,61.38,0.1,2025.39,1178.45,846.94,Standard,2025-09-18,2025-09-20,2025-09-21,2025-09-24,Completed,Dispatched,Partially Paid,1257.86,767.53,SP02,0.418161441,2,0,Yes
ORD00040,2025-08-15,CUST107,Om Traders,FMCG,Kochi,Kerala,South,Small,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,42,53.59,0.05,2250.9,1476.63,774.27,Standard,2025-08-19,2025-08-24,2025-08-26,2025-08-26,Completed,Dispatched,Paid,2250.9,0,SP07,0.343982407,5,0,Yes
ORD00041,2025-10-20,CUST094,Sunrise Traders,Engineering,Bhubaneswar,Odisha,East,Medium,P003,Protective Packaging,Bubble Wrap Roll,Roll,72,765.07,0.1,55085.23,37170.78,17914.45,Scheduled,2025-10-24,2025-10-29,2025-11-05,2025-10-29,Completed,Dispatched,Paid,55085.23,0,SP08,0.32521331,5,7,No
ORD00042,2025-05-27,CUST115,Metro Enterprises,Chemicals,Bhubaneswar,Odisha,East,Medium,P006,Stretch / Film Solutions,Shrink Film Roll,Roll,27,723.05,0,19522.25,12470.7,7051.55,Scheduled,2025-05-30,2025-06-04,2025-06-06,2025-06-04,Completed,Dispatched,Partially Paid,7591.53,11930.72,SP11,0.361205804,5,2,No
ORD00043,2025-01-21,CUST029,Prime Pvt Ltd,Chemicals,Mumbai,Maharashtra,West,Medium,P004,Protective Packaging,EPE Foam Roll,Roll,7,1380.61,0.02,9664.24,6193.93,3470.31,Express,2025-01-25,2025-02-01,2025-02-04,2025-01-26,Completed,Dispatched,Paid,9664.24,0,SP03,0.35908773,7,9,No
ORD00044,2025-04-13,CUST007,Shree Industries,Pharmaceuticals,Kolkata,West Bengal,East,Large,P007,Pallet Solutions,Wooden Pallet,Nos,44,909.91,0.1,40036.1,26436.79,13599.31,Express,2025-04-16,2025-04-23,2025-04-27,2025-04-23,In Production,Dispatched,Partially Paid,18739.16,21296.94,SP02,0.339676192,7,4,No
ORD00045,2025-08-28,CUST088,United Manufacturing,Electronics,Pune,Maharashtra,West,Medium,P014,Material Handling,Hand Pallet Truck,Nos,17,18010.52,0.03,306178.89,219869.26,86309.63,Express,2025-08-30,2025-09-01,2025-09-02,2025-09-08,In Production,Dispatched,Paid,306178.89,0,SP09,0.281892818,2,0,Yes
ORD00046,2025-03-05,CUST071,Prime Manufacturing,Engineering,Chandigarh,Chandigarh,North,Medium,P008,Pallet Solutions,Plastic Pallet,Nos,6,2588.53,0.08,15531.17,9585.25,5945.92,Standard,2025-03-10,2025-03-13,2025-03-15,2025-03-19,Completed,Dispatched,Paid,15531.17,0,SP10,0.382837867,3,0,Yes
ORD00047,2025-10-15,CUST018,Sunrise Traders,Chemicals,Hyderabad,Telangana,South,Small,P006,Stretch / Film Solutions,Shrink Film Roll,Roll,5,761.5,0.1,3807.51,2216.6,1590.91,Standard,2025-10-19,2025-10-24,2025-10-25,2025-10-21,Completed,Dispatched,Partially Paid,1545.51,2262,SP05,0.417834753,5,4,No
ORD00048,2025-09-10,CUST105,United Pvt Ltd,Electronics,Hyderabad,Telangana,South,Large,P003,Protective Packaging,Bubble Wrap Roll,Roll,49,860.12,0.05,42145.79,24695.77,17450.02,Scheduled,2025-09-12,2025-09-13,2025-09-19,2025-09-23,Completed,Dispatched,Outstanding,3713.09,38432.7,SP03,0.414039457,1,0,Yes
ORD00049,2025-08-01,CUST063,Prime Logistics,FMCG,Bhopal,Madhya Pradesh,Central,Large,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,10,63.09,0.05,630.94,339.87,291.07,Express,2025-08-03,2025-08-10,2025-08-13,2025-08-15,Pending,Dispatched,Paid,630.94,0,SP04,0.461327543,7,0,Yes
ORD00050,2025-07-05,CUST056,National Enterprises,Automotive,Vijayawada,Andhra Pradesh,South,Small,P001,Strapping Solutions,PP Strapping Roll,Meter,210,96.93,0.05,20354.76,12102.13,8252.63,Express,2025-07-07,2025-07-13,2025-07-15,2025-07-18,Completed,Dispatched,Paid,20354.76,0,SP02,0.405439809,6,0,Yes
ORD00051,2025-12-06,CUST040,National Pvt Ltd,Textiles,Coimbatore,Tamil Nadu,South,Medium,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,12,92.37,0.05,1108.47,673.24,435.23,Scheduled,2025-12-09,2025-12-15,2025-12-23,2025-12-11,Completed,Dispatched,Paid,1108.47,0,SP04,0.392640306,6,12,No
ORD00052,2025-10-28,CUST120,Prime Manufacturing,Pharmaceuticals,Coimbatore,Tamil Nadu,South,Small,P009,Packaging Tools & Equipment,Manual Strapping Tool,Nos,7,3492.5,0.1,24447.48,15748.56,8698.92,Scheduled,2025-10-31,2025-11-07,2025-11-08,2025-11-07,In Production,Dispatched,Paid,24447.48,0,SP05,0.355820723,7,1,No
ORD00053,2025-03-31,CUST022,United Manufacturing,Textiles,Patna,Bihar,East,Small,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,7,54.21,0.08,379.49,229.76,149.73,Scheduled,2025-04-02,2025-04-08,2025-04-11,2025-04-07,Completed,Dispatched,Paid,379.49,0,SP07,0.394555851,6,4,No
ORD00054,2025-09-27,CUST112,National Manufacturing,Chemicals,Chennai,Tamil Nadu,South,Medium,P009,Packaging Tools & Equipment,Manual Strapping Tool,Nos,40,3406.48,0.02,136259.38,91715.57,44543.81,Scheduled,2025-09-29,2025-10-05,2025-10-05,2025-10-09,Completed,Dispatched,Paid,136259.38,0,SP01,0.32690454,6,0,Yes
ORD00055,2025-12-04,CUST044,Apex Industries,Automotive,Noida,Uttar Pradesh,North,Small,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,81,622.72,0.02,50440.62,30413.36,20027.26,Express,2025-12-10,2025-12-13,2025-12-21,2025-12-09,In Production,Dispatched,Paid,50440.62,0,SP02,0.397046269,3,12,No
ORD00056,2025-02-11,CUST103,Apex Traders,Textiles,Coimbatore,Tamil Nadu,South,Small,P002,Strapping Solutions,PET Strapping Roll,Kg,190,117.14,0.1,22256.84,14147.26,8109.58,Scheduled,2025-02-15,2025-02-20,2025-02-27,2025-02-17,Completed,Dispatched,Paid,22256.84,0,SP05,0.364363495,5,10,No
ORD00057,2025-08-21,CUST120,Prime Manufacturing,Pharmaceuticals,Coimbatore,Tamil Nadu,South,Small,P014,Material Handling,Hand Pallet Truck,Nos,4,17057.32,0.05,68229.26,55426.26,12803,Standard,2025-08-27,2025-09-01,2025-09-04,2025-08-27,Completed,Dispatched,Paid,68229.26,0,SP07,0.187646766,5,8,No
ORD00058,2025-08-20,CUST063,Prime Logistics,FMCG,Bhopal,Madhya Pradesh,Central,Large,P002,Strapping Solutions,PET Strapping Roll,Kg,205,125.81,0.02,25790.47,14871.27,10919.2,Standard,2025-08-23,2025-08-27,2025-08-29,2025-09-01,Completed,Dispatched,Paid,25790.47,0,SP11,0.423381195,4,0,Yes
ORD00059,2025-08-31,CUST017,Global Logistics,Electronics,Patna,Bihar,East,Small,P003,Protective Packaging,Bubble Wrap Roll,Roll,13,857.35,0.02,11145.5,6462.9,4682.6,Scheduled,2025-09-02,2025-09-03,2025-09-03,2025-09-06,Completed,Dispatched,Paid,11145.5,0,SP09,0.420133686,1,0,Yes
ORD00060,2025-10-15,CUST070,National Logistics,Textiles,Coimbatore,Tamil Nadu,South,Small,P006,Stretch / Film Solutions,Shrink Film Roll,Roll,22,814.79,0.05,17925.36,10474.1,7451.26,Express,2025-10-19,2025-10-25,2025-10-25,2025-10-26,Completed,Dispatched,Partially Paid,10578.9,7346.46,SP02,0.415682586,6,0,Yes
ORD00061,2025-10-23,CUST012,Shree Pvt Ltd,Engineering,Coimbatore,Tamil Nadu,South,Large,P013,Material Handling,Platform Trolley,Nos,17,8487.53,0.05,144288.04,89001.29,55286.75,Standard,2025-10-29,2025-10-31,2025-11-01,2025-11-04,Completed,Dispatched,Partially Paid,66578.44,77709.6,SP07,0.383169319,2,0,Yes
ORD00062,2025-10-15,CUST056,National Enterprises,Automotive,Vijayawada,Andhra Pradesh,South,Small,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,28,60.34,0.03,1689.52,988.78,700.74,Express,2025-10-21,2025-10-26,2025-10-30,2025-10-20,Completed,Dispatched,Partially Paid,1066.22,623.3,SP06,0.414756854,5,10,No
ORD00063,2025-06-29,CUST108,National Manufacturing,Pharmaceuticals,Jaipur,Rajasthan,North,Small,P012,Customized Carton Boxes,7-Ply Corrugated Box,Nos,28,98.92,0,2769.65,1631.97,1137.68,Express,2025-07-01,2025-07-03,2025-07-04,2025-07-13,Completed,Dispatched,Partially Paid,1557.08,1212.57,SP07,0.410766703,2,0,Yes
ORD00064,2025-08-21,CUST060,Om Pvt Ltd,Chemicals,Pune,Maharashtra,West,Small,P004,Protective Packaging,EPE Foam Roll,Roll,36,1506.97,0.05,54250.98,33050.29,21200.69,Standard,2025-08-25,2025-08-27,2025-08-29,2025-08-30,Completed,Dispatched,Paid,54250.98,0,SP10,0.39078907,2,0,Yes
ORD00065,2025-01-26,CUST073,Vertex Industries,Chemicals,Patna,Bihar,East,Medium,P003,Protective Packaging,Bubble Wrap Roll,Roll,13,778.61,0.03,10121.88,6975.52,3146.36,Express,2025-01-28,2025-01-31,2025-02-03,2025-02-06,Completed,Dispatched,Paid,10121.88,0,SP07,0.310847392,3,0,Yes
ORD00066,2025-02-26,CUST101,Vertex Manufacturing,Electronics,Jaipur,Rajasthan,North,Medium,P002,Strapping Solutions,PET Strapping Roll,Kg,110,130.77,0.08,14384.38,7803.45,6580.93,Standard,2025-03-02,2025-03-08,2025-03-12,2025-03-10,Completed,Dispatched,Paid,14384.38,0,SP05,0.457505294,6,2,No
ORD00067,2025-04-19,CUST019,Apex Manufacturing,Automotive,Ludhiana,Punjab,North,Medium,P007,Pallet Solutions,Wooden Pallet,Nos,33,927.5,0.05,30607.54,19363.25,11244.29,Standard,2025-04-22,2025-04-29,2025-05-01,2025-04-28,Completed,Dispatched,Partially Paid,17233.05,13374.49,SP09,0.367369936,7,3,No
ORD00068,2025-10-14,CUST090,Sunrise Traders,Textiles,Delhi,Delhi,North,Small,P011,Customized Carton Boxes,5-Ply Corrugated Box,Nos,9,59.51,0.08,535.63,295.03,240.6,Express,2025-10-18,2025-10-19,2025-10-22,2025-10-19,Completed,Dispatched,Paid,535.63,0,SP12,0.449190673,1,3,No
ORD00069,2025-11-24,CUST109,National Enterprises,FMCG,Pune,Maharashtra,West,Medium,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,33,659.68,0,21769.43,11524.98,10244.45,Standard,2025-11-29,2025-12-02,2025-12-06,2025-12-05,Completed,Dispatched,Outstanding,1426.04,20343.39,SP04,0.470588803,3,1,No
ORD00070,2025-08-12,CUST047,Global Pvt Ltd,Logistics,Coimbatore,Tamil Nadu,South,Small,P006,Stretch / Film Solutions,Shrink Film Roll,Roll,14,748.17,0,10474.42,6716.38,3758.04,Scheduled,2025-08-18,2025-08-22,2025-08-26,2025-08-18,Completed,Dispatched,Paid,10474.42,0,SP11,0.358782634,4,8,No
ORD00071,2025-02-28,CUST027,Om Industries,Retail,Chennai,Tamil Nadu,South,Medium,P008,Pallet Solutions,Plastic Pallet,Nos,9,2653.34,0.02,23880.07,14478.54,9401.53,Standard,2025-03-06,2025-03-11,2025-03-12,2025-03-10,Pending,Dispatched,Paid,23880.07,0,SP05,0.393697757,5,2,No
ORD00072,2025-04-12,CUST110,Om Manufacturing,Retail,Chennai,Tamil Nadu,South,Medium,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,30,618.69,0,18560.7,11395.84,7164.86,Scheduled,2025-04-15,2025-04-20,2025-04-21,2025-04-18,Completed,Dispatched,Paid,18560.7,0,SP11,0.386023156,5,3,No
ORD00073,2025-11-22,CUST082,Global Enterprises,Pharmaceuticals,Coimbatore,Tamil Nadu,South,Small,P007,Pallet Solutions,Wooden Pallet,Nos,48,992.98,0.08,47663.13,29597.26,18065.87,Standard,2025-11-28,2025-12-01,2025-12-03,2025-11-29,Completed,Dispatched,Paid,47663.13,0,SP06,0.379032388,3,4,No
ORD00074,2025-09-17,CUST057,Apex Enterprises,Textiles,Bengaluru,Karnataka,South,Medium,P003,Protective Packaging,Bubble Wrap Roll,Roll,63,936.51,0.03,59000.05,32077.34,26922.71,Scheduled,2025-09-19,2025-09-22,2025-09-29,2025-09-29,In Production,Dispatched,Paid,59000.05,0,SP09,0.456316732,3,0,Yes
ORD00075,2025-07-16,CUST086,Apex Manufacturing,Engineering,Chennai,Tamil Nadu,South,Medium,P002,Strapping Solutions,PET Strapping Roll,Kg,320,123.1,0.05,39393.05,23086.66,16306.39,Standard,2025-07-21,2025-07-26,2025-07-30,2025-07-21,In Production,Dispatched,Paid,39393.05,0,SP01,0.413940784,5,9,No
ORD00076,2025-08-19,CUST053,United Manufacturing,FMCG,Gurugram,Haryana,North,Medium,P005,Stretch / Film Solutions,Stretch Film Roll,Roll,8,627.09,0.05,5016.7,2807.94,2208.76,Scheduled,2025-08-21,2025-08-28,2025-08-30,2025-08-25,Completed,Dispatched,Paid,5016.7,0,SP10,0.44028146,7,5,No
ORD00077,2025-03-23,CUST067,Metro Manufacturing,Textiles,Delhi,Delhi,North,Medium,P001,Strapping Solutions,PP Strapping Roll,Meter,190,100.02,0,19004.67,10772.7,8231.97,Express,2025-03-27,2025-03-30,2025-04-01,2025-04-03,Completed,Dispatched,Paid,19004.67,0,SP02,0.433155114,3,0,Yes
